
"Powerstar Pinetown TCD";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
10584;"17:57 28.01.2026";"Parking 00  d 9 h 53 min";"Namibia, 13008, Karibib, C32";579:38:25
9795;"11:17 29.01.2026";"Parking 1 d 3 h 06 min";"South Africa, Rustenburg Local Municipality, Rustenburg Ward 32Geofence: North West";562:18:01
10526;"12:21 03.02.2026";"Parking 00  d 1 h 16 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";441:14:37
10499;"12:34 03.02.2026";"Parking 00  d 1 h 46 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";441:01:30
10022;"15:07 05.02.2026";"Parking 8 d 6 h 57 min";"South Africa, 4182, uMdoni Local Municipality, Scottburgh, Scottburgh South, N2Geofence: Natal";390:27:57
10596;"09:26 06.02.2026";"Parking 6 d 1 h 08 min";"South Africa, 1461, Boksburg, Ekurhuleni Ward 22, Tile RoadGeofence: Gauteng";372:09:03
10040;"19:24 08.02.2026";"Parking 2 d 4 h 01 min";"South Africa, 0054, Tshwane Ward 101Geofence: Gauteng";314:11:20
9979;"14:54 09.02.2026";"Parking 4 d 5 h 08 min";"South Africa, 1477, Knights, Shaft RoadGeofence: Gauteng, Knight Bodies";294:41:06
10181;"17:34 12.02.2026";"Parking 169 d 17 h 34 min";"South Africa, 0167, Tshwane Ward 86, Vonkprop RoadGeofence: Gauteng";220:01:05
10256;"07:37 13.02.2026";"Parking 00  d 14 h 55 min";"South Africa, Joe Morolong Local Municipality, Joe Morolong Ward 4Geofence: Northen Cape";205:58:10
10504;"17:47 16.02.2026";"Parking 00  d 5 h 59 min";"South Africa, 1509, Ekurhuleni Ward 100Geofence: Gauteng";123:48:35
10205;"08:19 17.02.2026";"Parking 00  d 20 h 45 min";"Eswatini, M202, Matsapha, Sicholo StreetGeofence: Mpumalanga";109:16:07
10632;"00:23 18.02.2026";"Parking 00  d 3 h 28 min";"South Africa, 2060, Mogale City Local Municipality, Mogale City Ward 33, Nooitgedacht RoadGeofence: Gauteng";93:12:15
