
"Powerstar Pinetown TCD";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
10499;"12:34 03.02.2026";"Parking 00  d 1 h 46 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";432:39:56
10022;"15:07 05.02.2026";"Parking 8 d 6 h 57 min";"South Africa, 4182, uMdoni Local Municipality, Scottburgh, Scottburgh South, N2Geofence: Natal";382:06:23
10596;"09:26 06.02.2026";"Parking 6 d 1 h 08 min";"South Africa, 1461, Boksburg, Ekurhuleni Ward 22, Tile RoadGeofence: Gauteng";363:47:29
10040;"19:24 08.02.2026";"Parking 2 d 4 h 01 min";"South Africa, 0054, Tshwane Ward 101Geofence: Gauteng";305:49:46
9979;"14:54 09.02.2026";"Parking 4 d 5 h 08 min";"South Africa, 1477, Knights, Shaft RoadGeofence: Gauteng, Knight Bodies";286:19:32
10181;"17:34 12.02.2026";"Parking 169 d 17 h 34 min";"South Africa, 0167, Tshwane Ward 86, Vonkprop RoadGeofence: Gauteng";211:39:31
10256;"07:37 13.02.2026";"Parking 00  d 14 h 55 min";"South Africa, Joe Morolong Local Municipality, Joe Morolong Ward 4Geofence: Northen Cape";197:36:36
10504;"17:47 16.02.2026";"Parking 00  d 5 h 59 min";"South Africa, 1509, Ekurhuleni Ward 100Geofence: Gauteng";115:27:01
10205;"08:19 17.02.2026";"Parking 00  d 20 h 45 min";"Eswatini, M202, Matsapha, Sicholo StreetGeofence: Mpumalanga";100:54:33
10632;"00:23 18.02.2026";"Parking 00  d 3 h 28 min";"South Africa, 2060, Mogale City Local Municipality, Mogale City Ward 33, Nooitgedacht RoadGeofence: Gauteng";84:50:41
10633;"13:52 18.02.2026";"Parking 00  d 4 h 12 min";"South Africa, Vaalbank, N4Geofence: Gauteng";71:21:58
10473;"14:34 18.02.2026";Stopped;"South Africa, Madibeng Local Municipality, Mooinooi, Madibeng Ward 27Geofence: North West";70:40:09
10562;"10:48 19.02.2026";"Parking 00  d 1 h 59 min";"South Africa, 1600, Elandsfontein Rail, Graniet StreetGeofence: Gauteng";50:26:07
10258;"08:26 20.02.2026";"Parking 1 d 22 h 39 min";"South Africa, Victor Khanye Local Municipality, Victor Khanye Ward 7Geofence: Mpumalanga";28:48:08
10412;"08:39 20.02.2026";"Parking 2 d 23 h 45 min";"South Africa, 3620, eThekwini Ward 16, Wiltshire RoadGeofence: Natal, ROADHOGS";28:34:48
9743;"10:42 20.02.2026";"Moving 25 km/h";"South Africa, Greater Tubatse Local Municipality, Greater Tubatse Ward 31, D1335Geofence: Limpopo";26:32:09
10634;"12:19 20.02.2026";"Parking 15 d 4 h 05 min";"South Africa, 0167, Tshwane Ward 86, Vonkprop RoadGeofence: Gauteng";24:55:01
9678;"13:38 20.02.2026";"Parking 00  d 1 h 06 min";"South Africa, Joe Morolong Local Municipality, Joe Morolong Ward 4Geofence: Northen Cape";23:35:57
9677;"14:14 20.02.2026";"Moving 20 km/h";"South Africa, George, George Local Municipality, George Ward 25Geofence: Western Cape";23:00:00
"10416 - 1627";"15:02 20.02.2026";"Parking 00  d 4 h 54 min";"South Africa, 3200, Pietermaritzburg, Meadows, C.B. Downes RoadGeofence: Natal, powerstar PMB almighty equipment";22:11:48
9748;"15:48 20.02.2026";"Parking 00  d 1 h 03 min";"South Africa, Govan Mbeki Local Municipality, Govan Mbeki Ward 5Geofence: Mpumalanga";21:25:25
9830;"15:58 20.02.2026";"Parking 00  d 1 h 11 min";"South Africa, 9786, Senqu Local Municipality, Barkly East, Senqu Ward 19, Copeland StreetGeofence: Eastern Cape";21:15:16
10369;"16:17 20.02.2026";"Parking 00  d 5 h 07 min";"South Africa, Tsantsabane Local Municipality, Tsantsabane Ward 6Geofence: Northen Cape";20:57:12
10438;"16:43 20.02.2026";"Parking 00  d 1 h 15 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";20:30:50
10172;"17:49 20.02.2026";"Parking 00  d 1 h 19 min";"South Africa, Mogale City Local Municipality, Mogale City Ward 30, N14Geofence: Gauteng";19:24:23
10176;"18:22 20.02.2026";"Parking 00  d 1 h 42 min";"South Africa, Emalahleni Local Municipality, Emalahleni Ward 32, R547Geofence: Mpumalanga";18:51:37
9862;"20:31 20.02.2026";"Parking 2 d 10 h 43 min";"South Africa, 4182, uMdoni Local Municipality, Scottburgh, Scottburgh South, N2Geofence: Natal";16:42:41
10460;"03:29 21.02.2026";"Parking 2 d 17 h 47 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";09:44:56
10056;"07:09 21.02.2026";"Moving 6 km/h";"Botswana, Jwaneng Diamond Mine Road";06:05:10
10307;"07:43 21.02.2026";"Parking 00  d 15 h 00 min";"South Africa, Govan Mbeki Local Municipality, Govan Mbeki Ward 22Geofence: Mpumalanga";05:30:21
9860;"07:57 21.02.2026";"Moving 17 km/h";"South Africa, Tsantsabane Local Municipality, Tsantsabane Ward 6, GlosamGeofence: Northen Cape";05:16:43
10354;"08:22 21.02.2026";"Parking 00  d 00  h 45 min";"South Africa, Tsantsabane Local Municipality, Tsantsabane Ward 6Geofence: Northen Cape";04:51:38
9894;"08:27 21.02.2026";"Parking 00  d 00  h 04 min";"South Africa, 0125, Tshwane Ward 48Geofence: Gauteng";04:46:19
10270;"09:05 21.02.2026";"Parking 00  d 00  h 26 min";"South Africa, Thembisile Hani Local Municipality, Thembisile Hani Ward 14Geofence: Mpumalanga";04:08:19
"Powerstar Ermelo";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
9880;"16:11 09.10.2025";"Parking 133 d 19 h 15 min";"Zimbabwe, Harare, Borrowdale Road";3237:02:23
